TAZID,station_count,total_chargers,area,perimeter
1163,2,18,1075939.2,5286.6765
1164,13,88,1885864.82,6316.2655
1166,8,82,2372233.585,6724.5788
1167,19,373,6133970.501,18053.4776
1168,6,43,1441848.056,8021.7389
1172,2,9,1101209.619,4761.0116
1173,7,38,1288233.389,5875.5566
123,3,28,3689377.051,9522.7455
124,5,56,26919024.71,25128.1089
202,9,57,2044358.687,5688.5707
204,8,57,1111455.492,4519.2385
205,3,45,892615.5256,4458.9091
206,8,127,653157.6518,3521.9589
208,2,13,1153273.954,4421.1025
212,4,27,797566.5106,3572.0987
213,11,74,1726685.513,6408.4087
214,2,9,1268024.981,4595.687
215,2,52,1711875.143,6129.3717
216,3,24,1869575.601,7478.0719
217,10,129,1446921.621,5092.7753
223,16,187,2415608.675,7180.3276
224,21,133,1827878.063,6198.1673
225,4,20,1576359.218,6120.9709
226,8,72,1206559.911,4921.4459
227,7,73,1643063.863,5777.1089
235,8,43,10820556.2,24877.3276
307,15,169,3207891.135,7782.7606
309,9,136,7636038.231,13147.1368
310,1,10,4180337.833,8712.3216
311,5,64,6438287.336,19362.8594
316,1,4,5513679.088,11176.98
320,4,25,3289234.902,8135.6553
321,4,44,1270951.606,4570.2598
322,2,24,1237508.471,4476.7488
323,1,41,1910859.277,5543.0161
324,7,60,1768189.627,5365.1321
325,5,49,994567.4101,4109.7808
326,7,106,1963022.086,6447.5728
328,6,75,2812415.545,8117.6664
329,17,254,3338853.123,8176.1868
330,4,30,2918692.653,8592.7535
331,2,36,2840625.569,9120.979
332,12,147,3541905.542,10892.7484
333,5,22,2415248.82,9275.2957
335,19,249,18322509.38,22022.1969
340,1,23,1507854.982,6029.195
343,1,28,2497138.177,7339.5401
346,3,61,35455182.04,37122.9824
347,4,29,2444494.523,6236.0308
348,1,33,3082857.139,11446.4803
406,2,14,6405791.042,22521.9338
408,6,57,4386485.281,13001.8672
501,5,47,2835686.366,7877.3746
502,5,100,2548617.816,6842.3294
506,8,162,3296103.406,7796.8479
508,8,76,2793041.383,6587.1241
511,2,15,4814293.824,13647.0529
512,11,86,2388020.447,6230.0719
513,14,171,7294701.075,12584.9552
516,1,71,1485980.953,5828.7387
519,14,223,4604265.238,8854.3041
520,3,124,3111930.817,7352.3793
522,6,86,1956536.412,6419.1707
525,7,96,1721567.81,5219.8913
526,14,262,3175053.094,7269.63
527,5,146,2104763.882,6132.2759
528,4,33,1606363.081,5175.1166
529,3,48,988491.3026,4061.4337
552,2,49,3220526.259,8122.5987
553,1,22,3375350.041,8497.3686
558,2,28,3927542.045,8189.3687
559,1,20,5726523.056,9624.5755
568,1,20,3215475.578,8743.0393
570,2,21,3371908.048,13670.3384
575,1,17,3061268.967,7383.3287
576,4,72,2674997.258,6996.8152
577,1,24,1998027.015,8846.7074
578,1,12,3262042.514,8507.0798
580,2,20,3836020.245,8158.3482
582,4,38,3932985.579,9728.5705
584,4,55,2592298.944,6711.4272
585,1,12,3455179.415,7751.1877
587,6,132,2884903.761,6882.2666
588,4,96,2727566.75,6521.8358
589,10,105,3552752.123,7593.7928
592,2,88,3721212.728,9690.8819
594,2,38,2044150.527,5825.1986
595,2,137,3387279.995,7579.4307
596,2,55,2972113.241,7335.1002
598,1,12,2111843.466,6822.822
601,1,12,3716735.43,9999.2932
628,1,6,12588645.81,19562.2636
631,3,34,3518076.274,8817.7611
632,3,30,5147714.723,11720.1593
633,4,135,4893360.338,9941.5617
637,4,35,2816252.168,7202.4292
638,2,22,7008688.381,17023.4838
643,3,34,2394926.299,6045.2351
644,3,48,6371874.379,12247.2682
647,1,20,3009237.62,11105.8513
651,1,9,8493110.293,30340.4058
655,2,24,2070129.482,6065.6527
656,2,50,2187196.763,6543.4633
659,1,18,3174568.39,7931.221
681,3,18,19582807.76,44371.0454
682,2,50,2999728.998,13066.7853
686,7,89,4095817.101,8834.7365
687,2,24,2141080.163,8004.9998
690,2,70,2237162.079,6371.2688
691,1,35,2437980.579,8041.8648
693,2,59,2077408.839,5841.5498
698,1,9,1757928.407,5240.8532
699,8,54,4865650.274,11391.6846
700,6,99,3993140.897,8827.1164
701,2,12,1937227.779,6423.0088
703,14,233,2390710.773,6408.1774
704,8,141,2667446.69,7542.2302
705,6,52,1813268.435,5717.1269
706,3,30,1620469.203,5810.2154
708,3,31,2314260.281,7930.6674
709,7,56,1783667.661,5263.5265
710,7,83,2300824.352,6199.3119
711,3,34,1287001.459,4552.2006
712,5,50,1698428.457,5725.5441
715,2,16,8387250.892,27715.6687
716,6,135,3953361.236,10287.7371
718,2,15,1409007.192,4689.9141
719,1,6,804972.9017,3840.3455
724,8,180,3009520.087,7023.5202
728,2,22,2906448.276,9193.1807
729,3,39,6670069.766,11514.3675
731,5,60,1835070.131,6250.9573
732,1,15,1776970.564,5255.3801
733,6,130,2481179.59,7174.9789
737,3,36,3617574.403,8627.699
741,3,38,1730424.55,6748.1897
744,6,71,1959295.442,5744.6718
745,1,16,1894595.779,5606.8399
746,7,115,2192296.906,7932.7135
751,4,72,3464267.985,7967.6888
771,1,24,12782458.41,22007.842
773,2,40,5552511.973,12825.0707
775,1,26,6156034.79,14881.8362
777,6,121,5007215.483,18370.0512
781,3,35,2772840.386,8109.9944
783,2,24,5209052.488,16379.337
790,4,32,5068093.869,11431.6289
792,1,6,5066749.67,9724.6104
795,4,102,4395377.728,8621.4278
799,6,83,1586836.276,6331.4115
802,4,58,3837343.785,8473.1771
804,2,47,2317791.153,6274.082
805,1,12,3998873.92,9830.5667
809,3,68,2206183.516,6278.6549
832,2,36,3001727.259,8076.2424
842,5,90,5338909.793,10273.514
844,1,66,3940343.881,8250.3926
848,1,12,4956530.57,22413.3337
849,4,74,3877029.488,8609.9494
851,5,142,4385532.256,9765.0806
852,1,8,3877516.449,14664.6665
855,19,186,5170043.493,12077.4483
858,5,138,5503741.641,11348.3398
862,2,36,7985257.081,12642.715
881,1,88,49933877.0,42393.5535
882,1,15,5099847.146,10175.0338
883,2,12,3801552.982,7932.1752
887,1,36,2567051.85,7214.2561
888,6,140,5537672.589,9316.3411
890,1,18,2334377.899,6300.1438
891,1,54,3280787.594,11325.9871
893,3,18,4856654.244,12247.6593
895,1,45,4408375.899,8891.0158
897,3,35,5361964.366,18807.9718
900,2,12,1816683.418,6778.0821
901,4,17,6342075.908,10202.1945
902,3,70,4505885.676,9955.6901
903,2,57,4927031.056,9407.5151
904,3,54,4355587.034,8613.2357
937,2,22,33292904.11,37959.511
943,2,21,9124862.302,14879.4286
958,5,45,3875149.414,8824.1218
965,2,129,2314407.81,7063.4493
966,6,185,1425854.119,5816.7721
967,2,24,2112146.912,6677.5519
969,5,50,3170710.887,7130.9504
972,5,75,3721386.909,9036.2847
974,9,123,3645556.363,8076.6812
975,1,18,1463496.274,5985.9811
977,1,29,1550479.033,6397.0175
979,1,16,2649581.015,8304.9
981,3,49,975840.3762,4901.057
982,3,18,2691789.038,7113.0473
983,2,17,1888643.732,5705.0197
984,2,16,778495.0036,3545.5354
986,3,125,769679.6783,3634.2369
987,3,45,1236892.148,4980.1256
988,4,55,1456138.029,5301.7519
989,10,132,3962482.638,8443.4017
991,4,17,2042090.685,6723.8525
996,8,119,3332901.035,8707.1443
998,9,118,2224244.443,6123.8623
